iter	Passed	Remaining
587	2004	1404
588	2007	1400
589	2009	1396
590	2013	1393
591	2015	1389
592	2019	1385
593	2021	1381
594	2024	1378
595	2027	1374
596	2030	1370
597	2033	1366
598	2036	1363
599	2039	1359
600	2041	1355
601	2044	1351
602	2047	1348
603	2050	1344
604	2053	1340
605	2056	1337
606	2059	1333
607	2062	1329
608	2065	1326
609	2069	1322
610	2071	1319
611	2074	1315
612	2077	1311
613	2080	1308
614	2084	1304
615	2086	1300
616	2089	1297
617	2092	1293
618	2095	1289
619	2098	1286
620	2101	1282
621	2104	1278
622	2107	1275
623	2110	1271
624	2113	1268
625	2116	1264
626	2119	1260
627	2122	1257
628	2125	1253
629	2128	1250
630	2131	1246
631	2134	1242
632	2137	1239
633	2140	1235
634	2143	1232
635	2146	1228
636	2149	1224
637	2152	1221
638	2155	1217
639	2158	1214
640	2162	1210
641	2165	1207
642	2167	1203
643	2170	1200
644	2173	1196
645	2177	1193
646	2180	1189
647	2183	1185
648	2186	1182
649	2189	1178
650	2192	1175
651	2195	1171
652	2198	1168
653	2201	1164
654	2204	1160
655	2207	1157
656	2210	1153
657	2213	1150
658	2216	1146
659	2219	1143
660	2222	1139
661	2224	1135
662	2228	1132
663	2230	1128
664	2233	1125
665	2237	1121
666	2240	1118
667	2243	1115
668	2246	1111
669	2250	1108
670	2253	1104
671	2256	1101
672	2259	1097
673	2262	1094
674	2265	1090
675	2267	1086
676	2270	1083
677	2273	1079
678	2276	1076
679	2279	1072
680	2282	1069
681	2285	1065
682	2289	1062
683	2294	1060
684	2297	1056
685	2300	1052
686	2303	1049
687	2306	1046
688	2310	1042
689	2313	1039
690	2317	1036
691	2321	1033
692	2324	1029
693	2329	1027
694	2332	1023
695	2336	1020
696	2339	1017
697	2343	1013
698	2346	1010
699	2350	1007
700	2354	1004
701	2357	1000
702	2361	997
703	2364	994
704	2367	990
705	2370	986
706	2373	983
707	2376	980
708	2379	976
709	2383	973
710	2385	969
711	2388	966
712	2392	963
713	2395	959
714	2399	956
715	2402	952
716	2405	949
717	2408	945
718	2411	942
719	2414	938
720	2418	935
721	2420	932
722	2424	928
723	2427	925
724	2430	921
725	2433	918
726	2437	915
727	2440	911
728	2444	908
729	2447	905
730	2452	902
731	2455	899
732	2459	895
733	2462	892
734	2466	889
735	2469	885
736	2472	882
737	2475	878
738	2478	875
739	2481	872
740	2484	868
741	2487	864
742	2490	861
743	2493	858
744	2496	854
745	2499	851
746	2502	847
747	2505	844
748	2508	840
749	2511	837
750	2514	833
751	2517	830
752	2520	826
753	2523	823
754	2526	819
755	2529	816
756	2532	812
757	2535	809
758	2538	806
759	2541	802
760	2544	799
761	2548	795
762	2551	792
763	2554	789
764	2557	785
765	2560	782
766	2563	778
767	2566	775
768	2569	771
769	2572	768
770	2575	764
771	2578	761
772	2581	758
773	2584	754
774	2587	751
775	2590	747
776	2593	744
777	2597	741
778	2600	737
779	2602	734
780	2605	730
781	2608	727
782	2611	723
783	2614	720
784	2617	716
785	2620	713
786	2623	710
787	2626	706
788	2629	703
789	2632	699
790	2635	696
791	2638	693
792	2642	689
793	2644	686
794	2647	682
795	2650	679
796	2653	675
797	2656	672
798	2659	669
799	2662	665
800	2665	662
801	2668	658
802	2671	655
803	2675	652
804	2678	648
805	2681	645
806	2684	642
807	2687	638
808	2691	635
809	2694	632
810	2697	628
811	2700	625
812	2703	621
813	2706	618
814	2710	615
815	2713	611
816	2717	608
817	2720	605
818	2723	601
819	2727	598
820	2730	595
821	2733	591
822	2736	588
823	2740	585
824	2744	582
825	2747	578
826	2750	575
827	2753	571
828	2757	568
829	2761	565
830	2766	562
831	2769	559
832	2774	556
833	2781	553
834	2784	550
835	2788	546
836	2791	543
837	2794	540
838	2798	536
839	2801	533
840	2804	530
841	2808	526
842	2811	523
843	2814	520
844	2817	516
845	2820	513
846	2824	510
847	2827	506
848	2830	503
849	2833	500
850	2838	496
851	2841	493
852	2845	490
853	2848	487
854	2852	483
855	2856	480
856	2859	477
857	2862	473
858	2865	470
859	2868	466
860	2872	463
861	2874	460
862	2877	456
863	2881	453
864	2883	450
865	2886	446
866	2890	443
867	2893	439
868	2895	436
869	2898	433
870	2901	429
871	2905	426
872	2908	423
873	2911	419
874	2914	416
875	2917	412
876	2919	409
877	2922	406
878	2925	402
879	2928	399
880	2931	396
881	2934	392
882	2937	389
883	2941	386
884	2945	382
885	2948	379
886	2951	376
887	2955	372
888	2958	369
889	2961	366
890	2964	362
891	2967	359
892	2970	355
893	2974	352
894	2977	349
895	2980	345
896	2983	342
897	2986	339
898	2989	335
899	2991	332
900	2994	329
901	2997	325
902	3000	322
903	3003	318
904	3006	315
905	3008	312
906	3011	308
907	3015	305
908	3018	302
909	3021	298
910	3024	295
911	3027	292
912	3030	288
913	3033	285
914	3037	282
915	3040	278
916	3043	275
917	3046	272
918	3049	268
919	3051	265
920	3055	262
921	3058	258
922	3061	255
923	3064	252
924	3067	248
925	3070	245
926	3073	242
927	3076	238
928	3079	235
929	3082	232
930	3085	228
931	3088	225
932	3091	222
933	3094	218
934	3097	215
935	3100	212
936	3103	208
937	3106	205
938	3109	202
939	3112	198
940	3115	195
941	3118	192
942	3122	188
943	3125	185
944	3128	182
945	3131	178
946	3134	175
947	3138	172
948	3142	168
949	3145	165
950	3148	162
951	3151	158
952	3155	155
953	3158	152
954	3161	148
955	3164	145
956	3167	142
957	3171	139
958	3174	135
959	3177	132
960	3180	129
961	3183	125
962	3187	122
963	3191	119
964	3194	115
965	3197	112
966	3200	109
967	3204	105
968	3207	102
969	3210	99
970	3213	95
971	3216	92
972	3221	89
973	3224	86
974	3227	82
975	3230	79
976	3233	76
977	3236	72
978	3239	69
979	3243	66
980	3246	62
981	3249	59
982	3252	56
983	3255	52
984	3258	49
985	3262	46
986	3265	43
987	3268	39
988	3271	36
989	3274	33
990	3277	29
991	3280	26
992	3284	23
993	3287	19
994	3290	16
995	3293	13
996	3295	9
997	3298	6
998	3301	3
999	3304	0
